crime_type,day_of_week,time_of_day,crime_frequency
Motor Vehicle Theft,Friday,late_morning,0.030498812351543943
Motor Vehicle Theft,Friday,afternoon,0.040950118764845604
Motor Vehicle Theft,Friday,evening,0.048741092636579574
Motor Vehicle Theft,Saturday,early_morning,0.027648456057007127
Motor Vehicle Theft,Saturday,late_morning,0.032304038004750596
Motor Vehicle Theft,Saturday,afternoon,0.03876484560570071
Motor Vehicle Theft,Saturday,evening,0.04978622327790974
Motor Vehicle Theft,Sunday,early_morning,0.02983372921615202
Motor Vehicle Theft,Sunday,late_morning,0.029168646080760096
Motor Vehicle Theft,Sunday,afternoon,0.034109263657957245
Motor Vehicle Theft,Sunday,evening,0.045985748218527314
Shoplifting,Monday,early_morning,0.0057389564576422894
Shoplifting,Monday,late_morning,0.01953351234665403
Shoplifting,Monday,afternoon,0.07671247301637446
Shoplifting,Monday,evening,0.04175222450376454
Shoplifting,Tuesday,early_morning,0.006844626967830253
Shoplifting,Tuesday,late_morning,0.018427841836466067
Shoplifting,Tuesday,afternoon,0.07402727320591797
Shoplifting,Tuesday,evening,0.0458590006844627
Shoplifting,Wednesday,early_morning,0.007476438687937661
Shoplifting,Wednesday,late_morning,0.018849049649871004
Shoplifting,Wednesday,afternoon,0.07307955562575685
Shoplifting,Wednesday,evening,0.0446480282209235
Shoplifting,Thursday,early_morning,0.006949928921181488
Shoplifting,Thursday,late_morning,0.019480861369978415
Shoplifting,Thursday,afternoon,0.07613331227294266
Shoplifting,Thursday,evening,0.04159427157373769
Shoplifting,Friday,early_morning,0.007318485757910809
Shoplifting,Friday,late_morning,0.020849786763544462
Shoplifting,Friday,afternoon,0.0756068025061865
Shoplifting,Friday,evening,0.047069973148001897
Shoplifting,Saturday,early_morning,0.008160901384720686
Shoplifting,Saturday,late_morning,0.017269520349602486
Shoplifting,Saturday,afternoon,0.07702837887642816
Shoplifting,Saturday,evening,0.04938661612172906
Shoplifting,Sunday,early_morning,0.007055230874532722
Shoplifting,Sunday,late_morning,0.014636971515821618
Shoplifting,Sunday,afternoon,0.06418154056757752
Shoplifting,Sunday,evening,0.0343284367925025
Driving Under The Influence,Monday,early_morning,0.03159090909090909
Driving Under The Influence,Monday,late_morning,0.006136363636363636
Driving Under The Influence,Monday,afternoon,0.01090909090909091
Driving Under The Influence,Monday,evening,0.02727272727272727
Driving Under The Influence,Tuesday,early_morning,0.022954545454545453
Driving Under The Influence,Tuesday,late_morning,0.004545454545454545
Driving Under The Influence,Tuesday,afternoon,0.0125
Driving Under The Influence,Tuesday,evening,0.028863636363636362
Driving Under The Influence,Wednesday,early_morning,0.026363636363636363
Driving Under The Influence,Wednesday,late_morning,0.005454545454545455
Driving Under The Influence,Wednesday,afternoon,0.014545454545454545
Driving Under The Influence,Wednesday,evening,0.05045454545454545
Driving Under The Influence,Thursday,early_morning,0.03068181818181818
Driving Under The Influence,Thursday,late_morning,0.005909090909090909
Driving Under The Influence,Thursday,afternoon,0.019090909090909092
Driving Under The Influence,Thursday,evening,0.059772727272727276
Driving Under The Influence,Friday,early_morning,0.0525
